symbol,name,price,exchange,exchangeShortName,type
AIRG,"Airgain, Inc.",3.85,NASDAQ Capital Market,NASDAQ,stock
BDTX,"Black Diamond Therapeutics, Inc.",4.67,NASDAQ Global Select,NASDAQ,stock
ICMB,"Investcorp Credit Management BDC, Inc.",3.39,NASDAQ Global Select,NASDAQ,stock
DXLG,"Destination XL Group, Inc.",3.87,NASDAQ Global Market,NASDAQ,stock
CAPT,Captivision Inc.,6.73,NASDAQ Global Market,NASDAQ,stock
ADAG,Adagene Inc.,3.15,NASDAQ Global Market,NASDAQ,stock
LUCD,Lucid Diagnostics Inc.,1.29,NASDAQ Global Market,NASDAQ,stock
LABP,"Landos Biopharma, Inc.",5.78,NASDAQ Global Market,NASDAQ,stock
ADTX,"Aditxt, Inc.",3.72,NASDAQ Capital Market,NASDAQ,stock
BDRX,Biodexa Pharmaceuticals Plc,1.53,NASDAQ Capital Market,NASDAQ,stock
AVAH,Aveanna Healthcare Holdings Inc.,2.23,NASDAQ Global Select,NASDAQ,stock
CASI,"CASI Pharmaceuticals, Inc.",5.55,NASDAQ Capital Market,NASDAQ,stock
BRLT,"Brilliant Earth Group, Inc.",2.77,NASDAQ Global Market,NASDAQ,stock
LEXX,Lexaria Bioscience Corp.,2.25,NASDAQ Capital Market,NASDAQ,stock
MDAI,"Spectral AI, Inc.",1.85,NASDAQ Capital Market,NASDAQ,stock
MFH,Mercurity Fintech Holding Inc.,2.28,NASDAQ Capital Market,NASDAQ,stock
PBI,Pitney Bowes Inc.,3.82,New York Stock Exchange,NYSE,stock
CDXS,"Codexis, Inc.",2.85,NASDAQ Global Select,NASDAQ,stock
CRWS,"Crown Crafts, Inc.",5.41,NASDAQ Capital Market,NASDAQ,stock
MMAT,Meta Materials Inc.,4.0,NASDAQ Capital Market,NASDAQ,stock
LIAN,LianBio,4.79,NASDAQ Global Market,NASDAQ,stock
API,"Agora, Inc.",2.74,NASDAQ Global Select,NASDAQ,stock
LTRX,"Lantronix, Inc.",4.07,NASDAQ Capital Market,NASDAQ,stock
CLAR,Clarus Corporation,5.88,NASDAQ Global Select,NASDAQ,stock
IPSC,"Century Therapeutics, Inc.",4.16,NASDAQ Global Select,NASDAQ,stock
BDSX,"Biodesix, Inc.",1.46,NASDAQ Global Market,NASDAQ,stock
EGAN,eGain Corporation,5.83,NASDAQ Capital Market,NASDAQ,stock
CONN,"Conn's, Inc.",4.34,NASDAQ Global Select,NASDAQ,stock
CMRX,"Chimerix, Inc.",1.19,NASDAQ Global Market,NASDAQ,stock
BREA,Brera Holdings PLC Class B Ordinary Shares,1.34,NASDAQ Global Market,NASDAQ,stock
AVIR,"Atea Pharmaceuticals, Inc.",4.21,NASDAQ Global Select,NASDAQ,stock
HSAI,Hesai Group,3.88,NASDAQ Global Select,NASDAQ,stock
ATAI,Atai Life Sciences N.V.,1.88,NASDAQ Global Market,NASDAQ,stock
CPOP,"Pop Culture Group Co., Ltd",6.22,NASDAQ Global Market,NASDAQ,stock
BLDE,"Blade Air Mobility, Inc.",3.24,NASDAQ Capital Market,NASDAQ,stock
LESL,"Leslie's, Inc.",6.89,NASDAQ Global Select,NASDAQ,stock
KOD,Kodiak Sciences Inc.,5.21,NASDAQ Global Market,NASDAQ,stock
ASTS,"AST SpaceMobile, Inc.",3.16,NASDAQ Global Select,NASDAQ,stock
BYFC,Broadway Financial Corporation,5.99,NASDAQ Capital Market,NASDAQ,stock
CAN,Canaan Inc.,1.89,NASDAQ Global Market,NASDAQ,stock
CXAI,CXApp Inc.,1.38,NASDAQ Capital Market,NASDAQ,stock
APYX,Apyx Medical Corporation,2.02,NASDAQ Global Select,NASDAQ,stock
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,1.47,NASDAQ Global Select,NASDAQ,stock
FGEN,"FibroGen, Inc.",1.715,NASDAQ Global Select,NASDAQ,stock
GALT,Galectin Therapeutics Inc.,1.86,NASDAQ Capital Market,NASDAQ,stock
ADMA,"ADMA Biologics, Inc.",5.18,NASDAQ Global Market,NASDAQ,stock
CLRB,"Cellectar Biosciences, Inc.",3.275,NASDAQ Capital Market,NASDAQ,stock
FATE,"Fate Therapeutics, Inc.",6.83,NASDAQ Global Market,NASDAQ,stock
GSM,Ferroglobe PLC,5.21,NASDAQ Capital Market,NASDAQ,stock
HBIO,"Harvard Bioscience, Inc.",4.44,NASDAQ Global Market,NASDAQ,stock
AUGX,"Augmedix, Inc.",4.54,NASDAQ Capital Market,NASDAQ,stock
TEF,"Telefónica, S.A.",3.99,New York Stock Exchange,NYSE,stock
UFI,"Unifi, Inc.",5.8,New York Stock Exchange,NYSE,stock
CMND,Clearmind Medicine Inc.,1.79,NASDAQ Capital Market,NASDAQ,stock
GOSS,"Gossamer Bio, Inc.",1.22,NASDAQ Global Select,NASDAQ,stock
GPRO,"GoPro, Inc.",2.26,NASDAQ Global Select,NASDAQ,stock
GERN,Geron Corporation,1.93,NASDAQ Global Select,NASDAQ,stock
CUE,"Cue Biopharma, Inc.",2.08,NASDAQ Capital Market,NASDAQ,stock
GSIT,"GSI Technology, Inc.",2.57,NASDAQ Global Select,NASDAQ,stock
UGP,Ultrapar Participações S.A.,6.33,New York Stock Exchange,NYSE,stock
CNSL,"Consolidated Communications Holdings, Inc.",4.33,NASDAQ Global Select,NASDAQ,stock
GRWG,GrowGeneration Corp.,2.1,NASDAQ Capital Market,NASDAQ,stock
HYMC,Hycroft Mining Holding Corporation,2.02,NASDAQ Capital Market,NASDAQ,stock
FNCB,"FNCB Bancorp, Inc.",5.9,NASDAQ Capital Market,NASDAQ,stock
CGEN,Compugen Ltd.,2.39,NASDAQ Global Market,NASDAQ,stock
HOWL,"Werewolf Therapeutics, Inc.",6.62,NASDAQ Global Select,NASDAQ,stock
ALTO,"Alto Ingredients, Inc.",2.22,NASDAQ Capital Market,NASDAQ,stock
BWAY,BrainsWay Ltd.,6.32,NASDAQ Global Market,NASDAQ,stock
BCRX,"BioCryst Pharmaceuticals, Inc.",5.65,NASDAQ Global Select,NASDAQ,stock
LUXH,LuxUrban Hotels Inc.,2.89,NASDAQ Capital Market,NASDAQ,stock
CHNR,"China Natural Resources, Inc.",1.37,NASDAQ Capital Market,NASDAQ,stock
FCEL,"FuelCell Energy, Inc.",1.26,NASDAQ Global Market,NASDAQ,stock
TUP,Tupperware Brands Corporation,1.32,New York Stock Exchange,NYSE,stock
AMRX,"Amneal Pharmaceuticals, Inc.",5.73,New York Stock Exchange,NYSE,stock
ACTG,Acacia Research Corporation,4.02,NASDAQ Global Select,NASDAQ,stock
LAZR,"Luminar Technologies, Inc.",2.4,NASDAQ Global Select,NASDAQ,stock
AQST,"Aquestive Therapeutics, Inc.",2.51,NASDAQ Global Market,NASDAQ,stock
BKCC,BlackRock Capital Investment Corporation,3.77,NASDAQ Global Select,NASDAQ,stock
CGC,Canopy Growth Corporation,3.44,NASDAQ Global Select,NASDAQ,stock
JZXN,"Jiuzi Holdings, Inc.",1.01,NASDAQ Capital Market,NASDAQ,stock
ACIU,AC Immune SA,3.34,NASDAQ Global Market,NASDAQ,stock
IVVD,"Invivyd, Inc.",3.99,NASDAQ Global Market,NASDAQ,stock
WTI,"W&T Offshore, Inc.",3.08,New York Stock Exchange,NYSE,stock
AMRN,Amarin Corporation plc,1.165,NASDAQ Global Market,NASDAQ,stock
CDIO,"Cardio Diagnostics Holdings, Inc.",1.58,NASDAQ Capital Market,NASDAQ,stock
BNGO,"Bionano Genomics, Inc.",1.17,NASDAQ Capital Market,NASDAQ,stock
ACHL,Achilles Therapeutics plc,1.23,NASDAQ Global Select,NASDAQ,stock
