symbol,close,dateTimeUtc,dateTimeEst
ARPAUSDT,0.08042,2024-03-12 03:45:00,2024-03-11 22:45:00
ARKUSDT,1.1259,2024-03-12 03:45:00,2024-03-11 22:45:00
ARKMUSDT,3.1046,2024-03-12 03:45:00,2024-03-11 22:45:00
ARDRUSDT,0.1294,2024-03-12 03:45:00,2024-03-11 22:45:00
APTUSDT,13.5568,2024-03-12 03:45:00,2024-03-11 22:45:00
API3USDT,3.931,2024-03-12 03:45:00,2024-03-11 22:45:00
APEUSDT,2.289,2024-03-12 03:45:00,2024-03-11 22:45:00
ANKRUSDT,0.05141,2024-03-12 03:45:00,2024-03-11 22:45:00
AMPUSDT,0.009209,2024-03-12 03:45:00,2024-03-11 22:45:00
ALTUSDT,0.62824,2024-03-12 03:45:00,2024-03-11 22:45:00
ALPINEUSDT,2.608,2024-03-12 03:45:00,2024-03-11 22:45:00
ALPHAUSDT,0.1989,2024-03-12 03:45:00,2024-03-11 22:45:00
ALPACAUSDT,0.2478,2024-03-12 03:45:00,2024-03-11 22:45:00
ALICEUSDT,2.277,2024-03-12 03:45:00,2024-03-11 22:45:00
ALGOUSDT,0.2884,2024-03-12 03:45:00,2024-03-11 22:45:00
ALCXUSDT,38.13,2024-03-12 03:45:00,2024-03-11 22:45:00
AKROUSDT,0.007943,2024-03-12 03:45:00,2024-03-11 22:45:00
AIUSDT,2.011,2024-03-12 03:45:00,2024-03-11 22:45:00
AGLDUSDT,1.811,2024-03-12 03:45:00,2024-03-11 22:45:00
AGIXUSDT,1.23122,2024-03-12 03:45:00,2024-03-11 22:45:00
AEURUSDT,1.1096,2024-03-12 03:45:00,2024-03-11 22:45:00
AERGOUSDT,0.1873,2024-03-12 03:45:00,2024-03-11 22:45:00
ADXUSDT,0.2559,2024-03-12 03:45:00,2024-03-11 22:45:00
ADAUSDT,0.7566,2024-03-12 03:45:00,2024-03-11 22:45:00
ACMUSDT,2.662,2024-03-12 03:45:00,2024-03-11 22:45:00
ACHUSDT,0.03523,2024-03-12 03:45:00,2024-03-11 22:45:00
ACEUSDT,12.9352,2024-03-12 03:45:00,2024-03-11 22:45:00
ACAUSDT,0.1419,2024-03-12 03:45:00,2024-03-11 22:45:00
