type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,LOOMUSDT,19.17,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,VETUSDT,22.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,POLYXUSDT,21.33,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,UNFIUSDT,10.17,3,2,1,66.67%,4.0%,-6.0%,-2.0%,1000,980.0,6.68%,-6.0%,0.68%,1000,1006.8
total,RADUSDT,18.83,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,BNBUSDT,17.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,XRPUSDT,24.67,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,AVAXUSDT,5.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,SSVUSDT,19.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,2.6%,-6.0%,-3.4%,1000,966.0
total,EGLDUSDT,22.0,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,11.36%,-12.0%,-0.64%,1000,993.6
total,RIFUSDT,20.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,UNIUSDT,24.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,BANDUSDT,28.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,XEMUSDT,19.0,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,BONDUSDT,22.83,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
