type,symbol,d,no,no_p,no_l,wr,tp2,tl2,tg2,inv2,tir2$,tp3,tl3,tg3,inv3,tir3$
total,OPUSDT,123.5,6,4,1,66.67%,10.0%,-6.0%,4.0%,1000,1040.0,14.96%,-6.0%,8.96%,1000,1089.6
total,HFTUSDT,53.5,3,2,1,66.67%,6.0%,-6.0%,0.0%,1000,1000.0,8.28%,-6.0%,2.28%,1000,1022.8
total,MDTUSDT,100.67,6,4,2,66.67%,8.0%,-12.0%,-4.0%,1000,960.0,13.36%,-12.0%,1.36%,1000,1013.6
total,LITUSDT,132.33,8,5,2,62.5%,13.0%,-12.0%,1.0%,1000,1010.0,20.64%,-12.0%,8.64%,1000,1086.4
total,WOOUSDT,132.17,8,5,3,62.5%,13.0%,-18.0%,-5.0%,1000,950.0,20.64%,-18.0%,2.64%,1000,1026.4
total,OCEANUSDT,116.0,8,5,3,62.5%,9.0%,-18.0%,-9.0%,1000,910.0,8.2%,-18.0%,-9.8%,1000,902.0
total,INJUSDT,132.83,5,3,2,60.0%,7.0%,-12.0%,-5.0%,1000,950.0,9.28%,-12.0%,-2.72%,1000,972.8
total,GRTUSDT,61.17,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,13.96%,-12.0%,1.96%,1000,1019.6
total,FTMUSDT,123.83,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,17.04%,-12.0%,5.04%,1000,1050.4
total,STGUSDT,130.5,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,13.96%,-12.0%,1.96%,1000,1019.6
total,KSMUSDT,88.0,5,3,2,60.0%,7.0%,-12.0%,-5.0%,1000,950.0,12.36%,-12.0%,0.36%,1000,1003.6
total,EGLDUSDT,127.17,5,3,2,60.0%,9.0%,-12.0%,-3.0%,1000,970.0,13.96%,-12.0%,1.96%,1000,1019.6
total,UNFIUSDT,116.67,7,4,3,57.14%,12.0%,-18.0%,-6.0%,1000,940.0,19.64%,-18.0%,1.64%,1000,1016.4
total,DARUSDT,135.17,7,4,3,57.14%,8.0%,-18.0%,-10.0%,1000,900.0,10.28%,-18.0%,-7.72%,1000,922.8
total,LPTUSDT,102.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,WAXPUSDT,25.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,RADUSDT,33.83,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,SSVUSDT,97.33,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,ALPHAUSDT,117.5,4,2,1,50.0%,6.0%,-6.0%,0.0%,1000,1000.0,11.36%,-6.0%,5.36%,1000,1053.6
total,KAVAUSDT,120.67,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,ADAUSDT,65.5,6,3,2,50.0%,7.0%,-12.0%,-5.0%,1000,950.0,12.36%,-12.0%,0.36%,1000,1003.6
total,HOOKUSDT,30.5,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,HBARUSDT,85.5,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,11.36%,-12.0%,-0.64%,1000,993.6
total,DGBUSDT,118.5,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,ZECUSDT,120.5,4,2,2,50.0%,6.0%,-12.0%,-6.0%,1000,940.0,8.28%,-12.0%,-3.72%,1000,962.8
total,AAVEUSDT,141.83,6,3,2,50.0%,9.0%,-12.0%,-3.0%,1000,970.0,17.04%,-12.0%,5.04%,1000,1050.4
total,ARPAUSDT,85.67,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,YGGUSDT,16.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,SKLUSDT,131.17,10,5,5,50.0%,11.0%,-30.0%,-19.0%,1000,810.0,12.88%,-30.0%,-17.12%,1000,828.8
total,MAVUSDT,72.67,6,3,3,50.0%,7.0%,-18.0%,-11.0%,1000,890.0,12.36%,-18.0%,-5.64%,1000,943.6
total,STMXUSDT,81.33,2,1,1,50.0%,3.0%,-6.0%,-3.0%,1000,970.0,2.6%,-6.0%,-3.4%,1000,966.0
total,FXSUSDT,121.5,7,3,4,42.86%,9.0%,-24.0%,-15.0%,1000,850.0,13.96%,-24.0%,-10.04%,1000,899.6
total,MANAUSDT,115.67,5,2,3,40.0%,6.0%,-18.0%,-12.0%,1000,880.0,11.36%,-18.0%,-6.64%,1000,933.6
total,BELUSDT,117.83,5,2,3,40.0%,6.0%,-18.0%,-12.0%,1000,880.0,11.36%,-18.0%,-6.64%,1000,933.6
total,CHZUSDT,130.67,5,2,3,40.0%,6.0%,-18.0%,-12.0%,1000,880.0,11.36%,-18.0%,-6.64%,1000,933.6
total,KNCUSDT,123.17,5,2,3,40.0%,6.0%,-18.0%,-12.0%,1000,880.0,8.28%,-18.0%,-9.72%,1000,902.8
total,BALUSDT,125.17,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,2.6%,-12.0%,-9.4%,1000,906.0
total,OXTUSDT,65.67,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,2.6%,-12.0%,-9.4%,1000,906.0
total,WLDUSDT,30.0,3,1,2,33.33%,3.0%,-12.0%,-9.0%,1000,910.0,5.68%,-12.0%,-6.32%,1000,936.8
total,BTCUSDT,103.33,3,1,1,33.33%,3.0%,-6.0%,-3.0%,1000,970.0,5.68%,-6.0%,-0.32%,1000,996.8
total,SUIUSDT,128.67,4,1,2,25.0%,1.0%,-12.0%,-11.0%,1000,890.0,1.0%,-12.0%,-11.0%,1000,890.0
total,UMAUSDT,75.0,4,1,2,25.0%,3.0%,-12.0%,-9.0%,1000,910.0,5.68%,-12.0%,-6.32%,1000,936.8
total,STXUSDT,19.67,2,0,2,0.0%,0%,-12.0%,-12.0%,1000,880.0,0%,-12.0%,-12.0%,1000,880.0
total,POWRUSDT,57.67,2,0,2,0.0%,0%,-12.0%,-12.0%,1000,880.0,0%,-12.0%,-12.0%,1000,880.0
total,NTRNUSDT,0.0,1,0,0,0.0%,0%,0%,0%,1000,1000,0%,0%,0%,1000,1000
total,CAKEUSDT,0.0,1,0,1,0.0%,0%,-6.0%,-6.0%,1000,940.0,0%,-6.0%,-6.0%,1000,940.0
